Radarly pid,Radarly corpusId,Radarly corpusName,Product_Name,Product_url,Status,Name,Customer_Profile_Url,Rating,TimeStamps,Review,Media_Url,Likes,Id
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,wakjul7,https://shopee.com.my/shop/325345566,5,"2022-12-06 13:06 | Variation: Midnight,42 44 45 49mm","Quality: ok
Material: ok
Assalamualaikum 
Alhamdulillah barang da smpai dengan jayanya 
Barang selamat smpai dlm keadaan baik dan jayanya.
Sangat berpuas hati
","['https://play-ws.vod.shopee.com/c3/98934353/103/A3oyOdoCANjtdpkTEWcJACc.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-22120-lomfmck01qkvab.webp']",1,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,a*****y,,5,"2023-10-05 15:15 | Variation: Black,42 44 45 49mm","Durability: good
Nanti repeat lagi warna lain. Material sedap pakai. Padan dgn harga
","['https://play-ws.vod.shopee.com/api/v4/11110103/mms/my-11110103-6ke16-lmhcktqc8fbqcd.default.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-7r98z-lmhckkwx4x5f77.webp']",0,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,a*****k,,5,"2022-12-08 00:14 | Variation: Clover,42 44 45 49mm","Quality: good
Material: good
Nice, easy to wear, quality okay, shipping a bit late but its okay.
","['https://play-ws.vod.shopee.com/api/v4/11110103/mms/my_2ec09547-af0d-4109-afb9-4570fec4031e_000139.default.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-22120-igglg5vl5skvbb.webp']",1,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,r*****9,,5,"2023-04-29 16:33 | Variation: Yellow,42 44 45 49mm","Material: good
Quality: feel ok
Fast delivery. Pacakaging good. Will buy more maybe.
","['https://play-ws.vod.shopee.com/api/v4/11110103/mms/my-11110103-6jrnl-lg6hjry41sa1fe.default.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-7qul5-lg6hjhb7m44p67.webp']",0,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,fayehanz,https://shopee.com.my/shop/29213932,5,"2023-03-10 16:11 | Variation: Pistachio,42 44 45 49mm","Quality: 10/10
Material: 10/10
Similar to the original one. Thank you seller the color is cute and the durability like the original. Hope to buy again another color from you soon! 🙏🏻
","['https://play-ws.vod.shopee.com/api/v4/11110103/mms/my_09b84453-648c-4574-b26b-3543e4b544ec_000149.default.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-23030-bo3l922vdhov39.webp']",1,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,deals84l5,https://shopee.com.my/shop/27512532,5,"2023-04-01 09:48 | Variation: Black,42 44 45 49mm","Quality: good
Material: good
Items received safely. Trusted seller
Nice and neat packaging. Kudos to all the team. Keep up the good work.
","['https://play-ws.vod.shopee.com/api/v4/11110103/mms/my-11110103-6jrnn-lf24egb7qro555.default.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-7qul9-lf24e7icmglxeb.webp']",0,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,cleowong825,https://shopee.com.my/shop/805659594,5,"2023-04-06 08:08 | Variation: Yellow,42 44 45 49mm",,"['https://play-ws.vod.shopee.com/api/v4/11110103/mms/my-11110103-6jrnm-lf95pyix7ic50a.16000461680748669.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-7qul4-lf95pfdp83o515.webp']",0,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,j*****n,,5,"2023-03-17 17:29 | Variation: Starlight,42 44 45 49mm","Quality: good
Material: very good
this quality is very nice and love it
","['https://play-ws.vod.shopee.com/api/v4/11110103/mms/my_e3c37e9b-4396-4bb2-807b-13d2a181b63c_000150.default.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-23030-7n3tatmegrov51.webp']",0,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,hairulaa,https://shopee.com.my/shop/22486722,5,"2022-12-12 15:51 | Variation: Midnight,42 44 45 49mm","Quality: good
Material: good
Cannot compare with original band but acceptable with the price. A bit more rubbery but still nice on the skin. Not sure if the metal part will rust or not if in contact with water in the long run.
","['https://down-aka-in.img.susercontent.com/my-11134103-22120-qyn0cm1frzkv94.webp', 'https://down-aka-in.img.susercontent.com/my-11134103-22120-tyn0cm1frzkv10.webp']",0,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,wakena_beb27,https://shopee.com.my/shop/368983964,5,"2023-05-28 17:04 | Variation: Midnight,42 44 45 49mm","Material: terbaik
Quality: cun
Look like original from apple. The material, buckle look like original…
","['https://down-aka-in.img.susercontent.com/my-11134103-7qukx-lhbwkt4fwkxife.webp', 'https://down-aka-in.img.susercontent.com/my-11134103-7qul0-lhbwkt4fxzhy97.webp']",0,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,hyriemiphzal,https://shopee.com.my/shop/156879286,5,"2023-05-16 15:39 | Variation: Black,42 44 45 49mm","Quality: Solid
Hitam itu premium 🖤
","['https://play-ws.vod.shopee.com/api/v4/11110103/mms/my-11110103-6jrnm-lgup33a2zoja44.16000051684231691.mp4', 'https://down-aka-in.img.susercontent.com/my-11134103-7qul4-lgup2vsnxxx258.webp', 'https://down-aka-in.img.susercontent.com/my-11134103-7qula-lgup2vsode5y5e.webp']",0,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,ericcyh77,https://shopee.com.my/shop/38903509,5,"2022-11-26 08:35 | Variation: Midnight,42 44 45 49mm","Quality: ok
Material: comfortable
Good product quality of the ocean band. The buckle have come with spring adjustment which is rare to found from other seller.
","['https://down-aka-in.img.susercontent.com/my-11134103-22110-orn06nywhckv8e.webp', 'https://down-aka-in.img.susercontent.com/my-11134103-22110-nrn06nywhckve6.webp']",1,
6127,64143,Feminine Care,URVOI Ocean Band for Apple Watch Ultra series 8 7 6 SE 54321 silicone strap for iWatch sport stretch bracelet 49mm 45 44 40 41mm,https://shopee.com.my/URVOI-Ocean-Band-for-Apple-Watch-Ultra-series-8-7-6-SE-54321-silicone-strap-for-iWatch-sport-stretch-bracelet-49mm-45-44-40-41mm-i.85763660.21448408366?sp_atk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5&xptdk=17c56707-9a6d-45fe-aa70-e0cf9393b3a5,Historical,jonathanfun,https://shopee.com.my/shop/20200307,3,"2022-12-16 19:55 | Variation: Midnight,42 44 45 49mm","Quality: a bit of a defect found. Center metal piece is missing.
Material: material is okay
","['https://down-aka-in.img.susercontent.com/my-11134103-22120-igsyq3bsp6kv1a.webp', 'https://down-aka-in.img.susercontent.com/my-11134103-22120-lgsyq3bsp6kv9e.webp', 'https://down-aka-in.img.susercontent.com/my-11134103-22120-y17zq3bsp6kv24.webp']",0,
